"67","0"
"79","1"
"10","2"
"62","3"
"22","4"
"97","5"
"60","6"
"69","7"
"27","8"
"92","9"
"28","10"
"34","11"
"53","12"
"15","13"
"40","14"
"30","15"
"54","16"
"65","17"
"34","18"
"72","19"
"66","20"
"35","21"
"25","22"
"76","23"
"1","24"
"65","25"
"99","26"
"52","27"
"45","28"
"33","29"
"14","30"
"53","31"
"63","32"
"18","33"
"71","34"
"26","35"
"70","36"
"96","37"
"24","38"
"19","39"
"40","40"
"26","41"
"11","42"
"69","43"
"25","44"
"98","45"
"20","46"
"36","47"
"27","48"
"95","49"
"94","50"
"33","51"
"72","52"
"44","53"
"85","54"
"83","55"
"28","56"
"23","57"
"92","58"
"74","59"
"54","60"
"40","61"
"84","62"
"79","63"
"59","64"
"8","65"
"38","66"
"72","67"
"65","68"
"46","69"
"67","70"
"26","71"
"36","72"
"54","73"
"56","74"
"37","75"
"28","76"
"18","77"
"98","78"
"61","79"
"68","80"
"79","81"
"28","82"
"13","83"
"98","84"
"46","85"
"57","86"
"66","87"
"7","88"
"48","89"
"36","90"
"45","91"
"75","92"
"71","93"
"47","94"
"65","95"
"65","96"
"67","97"
"71","98"
"21","99"
