"0","Listen western treatment early wait","12.19","false"
"1","Trouble image wind","313.85","false"
"2","Risk whether","55.72","false"
"3","Statement religious force us","114.92","true"
"4","Adult coach represent","382.26","false"
"5","Each technology hot tax","193.41","false"
"6","Identify stand positive record","496.35","true"
"7","Student treatment challenge vote","249.69","true"
"8","Defense brother foot","8.43","true"
"9","Growth bill during","340.29","false"
"10","Accept stay","275.72","false"
"11","Try wait side part","488.73","false"
"12","Leave provide story","149.16","false"
"13","Design institution","337.08","true"
"14","Author somebody car","58.14","true"
"15","Company cover","102.68","false"
"16","Moment price","400.86","false"
"17","Matter ever stock","108.78","false"
"18","Audience generation set","300.39","true"
"19","Adult possible six","239.99","false"
"20","Star difficult sea other set","260.65","true"
"21","Avoid material line other","130.22","true"
"22","Enough American over road","406.44","false"
"23","Statement number PM main","63.25","true"
"24","Home employee month fund","71.42","true"
"25","Rock before training","204.13","false"
"26","Center hope executive weight group","83.72","true"
"27","Create behavior","442.28","false"
"28","Collection personal network nature","95.62","true"
"29","Loss safe growth range","346.64","true"
"30","Clearly relate fire","254.50","false"
"31","Opportunity fish","81.33","true"
"32","Collection sure simple between say","421.78","true"
"33","Police identify carry minute parent","269.13","false"
"34","Factor kind probably sound","327.40","false"
"35","Blood whose marriage kid","390.27","true"
"36","Woman strategy","321.44","true"
"37","Middle once news develop news","240.81","true"
"38","Work more","149.64","true"
"39","Man interview","455.91","false"
"40","Amount national war sense","296.67","false"
"41","Institution name perform themselves","36.11","true"
"42","Democratic political population","335.68","true"
"43","If during because share actually","157.51","false"
"44","Certain thus","186.97","true"
"45","Certainly worker receive","339.62","false"
"46","Result nothing college thought","458.40","true"
"47","Image him soldier suddenly myself","208.18","false"
"48","Prepare fight","100.03","false"
"49","Figure produce across","466.37","true"
"50","Would wind","263.42","false"
"51","Skill middle theory ok","143.02","true"
"52","Someone west","447.70","false"
"53","Soldier run","489.18","false"
"54","Oil popular order join future","382.50","false"
"55","Put money kind quickly","183.09","false"
"56","Threat house her move","0.22","false"
"57","Generation almost score city","91.58","false"
"58","Low Republican since present guy","88.63","true"
"59","Skill environmental create health","312.67","true"
"60","Work writer summer","87.03","false"
"61","Write pattern concern toward fast","417.71","false"
"62","Point fine over red","439.91","false"
"63","Help day","353.26","false"
"64","Meet news economic make","365.94","false"
"65","Seven card safe","395.40","true"
"66","Wish raise","363.64","false"
"67","Heart that American","239.47","false"
"68","Tv it ask information","380.38","true"
"69","Indicate part","229.73","false"
"70","Reach risk painting camera","157.73","false"
"71","Military daughter be","71.32","true"
"72","Growth mention local","296.05","true"
"73","Plant environmental time option","0.84","false"
"74","Better court name among","198.91","false"
"75","Call newspaper get","285.26","true"
"76","Include positive join plant ever","432.10","true"
"77","Far sing hand industry","484.04","true"
"78","Parent certain cut","261.82","false"
"79","Recent blue politics firm","320.22","true"
"80","Someone relate modern owner it","262.29","false"
"81","Method know not","333.96","false"
"82","General family","378.07","true"
"83","Consumer better grow story","17.96","false"
"84","Wait occur first test senior","28.12","false"
"85","Hospital ready marriage grow","23.98","true"
"86","Behavior game including all","471.52","true"
"87","Level let great performance","397.01","true"
"88","Away thing bed concern worker","123.99","false"
"89","Provide blue manage player administration","79.88","true"
"90","Care its someone point","104.21","true"
"91","Wish where Mrs","2.25","false"
"92","Southern size run reason act","236.66","false"
"93","Site should keep","373.22","false"
"94","Avoid less food","428.49","true"
"95","Consider treat road science","159.22","false"
"96","Environment president station visit indeed","378.93","true"
"97","Until across must father","199.72","false"
"98","Green understand media each","463.46","true"
"99","Film these issue","142.36","true"
"100","Drug partner","104.71","false"
"101","Area probably line and","357.92","true"
"102","Offer much charge","291.84","false"
"103","Player degree window","465.73","false"
"104","Exactly reach difficult","364.53","true"
"105","Strong always single","444.35","false"
"106","Enough walk despite","415.95","true"
"107","Owner avoid especially writer air","193.53","false"
"108","Hear remember similar rise employee","276.37","false"
"109","Fact safe about response heart","417.45","false"
"110","Reflect new choose adult","302.31","true"
"111","Third situation customer","140.59","false"
"112","Few mind soon","306.45","false"
"113","Work low plan education which","209.05","false"
"114","Herself less","415.26","false"
"115","Style kind","498.93","false"
"116","Week along change determine","385.09","true"
"117","Mrs usually","456.69","false"
"118","Gun describe","280.09","true"
"119","Final develop turn","248.81","true"
"120","Unit gas personal","499.06","true"
"121","First Mr another travel","8.23","true"
"122","Major six your","256.30","true"
"123","Kind by us","22.21","false"
"124","Throughout believe project","366.93","false"
"125","Involve of service drive attack","375.48","false"
"126","Product eye remain ten","309.33","true"
"127","Spring different level","45.50","false"
"128","Market research","230.84","false"
"129","Ever quality","103.22","false"
"130","Message west take","54.52","false"
"131","These which sign politics enter","135.54","false"
"132","Impact relationship individual though","52.19","false"
"133","Fish hundred","371.88","false"
"134","Recently similar","347.95","true"
"135","Actually hand","38.26","true"
"136","Position onto control","281.69","false"
"137","Something really manage read","451.54","true"
"138","Western only four a","107.67","true"
"139","Parent nor make development","247.75","false"
"140","Issue far job edge majority","48.94","true"
